auto_id,Year,Make,Model,Full Carbon,Full Ceramic,Front Carbon,Front Ceramic,Back Carbon,Back Ceramic
395,Other,Mitsubishi,galant,200,280,100,150,170,260
396,Other,Mitsubishi,Outlander,225,325,100,150,195,275
397,1996,Mitsubishi,Montero,290,390,100,150,250,350
398,2007,Nissan,350z convertible,200,300,100,150,130,200
399,Other,Nissan,370z,180,280,100,150,100,170
400,Other,Nissan,Altima,180,280,100,150,130,200
401,Other,Nissan,Ariya,225,325,100,150,175,250
402,Other,Nissan,Armada,260,360,100,150,220,320
403,Other,Nissan,Cube,260,360,100,150,200,300
404,Other,Nissan,Frontier,200,280,100,150,170,260
405,2022,Nissan,Frontier,210,310,100,150,180,260
406,2019,Nissan,Frontier pro,225,325,120,170,200,300
407,Other,Nissan,Xterra,260,360,100,150,220,320
408,Other,Nissan,Juke,200,300,100,150,170,240
409,Other,Nissan,Kicks,225,325,100,150,195,275
410,Other,Nissan,Leaf,200,300,120,170,170,260
411,Other,Nissan,Maxima,200,280,100,150,170,260
412,Other,Nissan,NV3500,400,500,100,150,350,450
413,Other,Nissan,Note,200,300,120,170,170,260
414,Other,Nissan,Pathfinder,225,325,100,150,220,320
415,Other,Nissan,Rogue,225,325,100,150,195,275
416,Other,Nissan,Sentra,200,280,100,150,170,260
417,Other,Nissan,Titan,220,320,100,150,180,260
418,Other,Nissan,Versa,200,300,100,150,170,260
419,2002,Oldsmobile,Alero,200,280,100,150,170,260
420,Other,Polestar,2,350,450,170,200,300,400
421,Other,Pontiac,Vibe,200,280,100,150,170,250
422,Other,Porsche,911 Carrera,240,340,170,200,200,280
423,Other,Porsche,Cayenne,330,430,170,200,300,380
424,Other,Porsche,Cayman,225,325,100,150,180,200
425,2019,Porsche,Panamera,325,425,170,200,285,385
426,Other,Porsche,Macan,260,360,120,270,220,320
427,Other,Porsche,Taycan,260,360,170,200,220,320
428,2002,Porsche,Boxter,200,300,100,150,130,200
429,Other,Rivian,R1T,280,280,170,200,260,350
430,Other,Rivian,R1S,350,450,170,200,300,400
431,2023,Rivian,R1S,350,450,170,200,300,400
432,Other,Rolls Royce,hard top,400,500,170,200,350,425
433,Other,Rolls Royce,convertible,350,450,170,200,300,400
434,Other,Rolls Royce,Ghost,400,500,170,200,350,425
435,Other,Rolls Royce,Cullinan,450,550,170,200,400,500
436,Other,Saturn,Aura,200,280,100,150,170,260
437,Other,Scion,FRS,200,280,120,170,130,200
438,Other,Scion,IM,200,280,100,150,170,260
439,Other,scion,IQ,180,280,100,150,130,200
440,Other,Scion,TC,200,280,100,150,130,200
441,Other,Scion,XB,225,325,100,150,170,260
442,Other,Subaru,Ascent,260,360,120,170,220,320
